text,category,ambience_subtype,source,is_hard_negative,risk_keyword,contrast_group_id,quality_score,notes
دورات المياه الرجاليه وسخه بشكل مبالغ,النظافة,,ambience_synthetic,True,دورات المياه,g091,5,contrastive hard-negative — men's room locked vs men's room dirty
المراحيض الجوال معطل بعد كل استخدام,الجو والمكان,bathroom_facilities,ambience_synthetic,False,المراحيض,g092,5,ambience positive — broken urinal vs all toilets dirty
المراحيض كلها وسخه بشكل لا يصدق,النظافة,,ambience_synthetic,True,المراحيض,g092,5,contrastive hard-negative — broken urinal vs all toilets dirty
لا يوجد اشاره دخول للحمام للضيوف,الجو والمكان,bathroom_facilities,ambience_synthetic,False,اشاره,g093,5,ambience positive — no bathroom signage vs rude staff signaling
اشاره الموظفين للزبون قليلة الادب,خدمة الموظفين,,ambience_synthetic,True,اشاره,g093,5,contrastive hard-negative — no bathroom signage vs rude staff signaling
الجلسة الخارجية مكشوفة على الشارع وجو مزعج,الجو والمكان,outdoor_view,ambience_synthetic,False,برا,g094,5,ambience positive — outdoor seating vs delivery-outside-bag
الطلب وصل برا الكيس واتلطخ,التوصيل,,ambience_synthetic,True,برا,g094,5,contrastive hard-negative — outdoor seating vs delivery-outside-bag
التراس ما فيه ظل والشمس قوية,الجو والمكان,outdoor_view,ambience_synthetic,False,الشمس,g095,5,ambience positive — no outdoor shade vs sun-spoiled food
الشمس على الباب طلعت الايس كريم خربان,جودة الطعام,,ambience_synthetic,True,الشمس,g095,5,contrastive hard-negative — no outdoor shade vs sun-spoiled food
الجلسة على الواجهه فيها ضوضاء سيارات,الجو والمكان,outdoor_view,ambience_synthetic,False,الواجهه,g096,5,ambience positive — noisy facade vs food cover misleading
الواجهه في المنيو مغريه بس الطعم مخيب,جودة الطعام,,ambience_synthetic,True,الواجهه,g096,5,contrastive hard-negative — noisy facade vs food cover misleading
التراس مفتوح وفيه ذباب وحشرات,الجو والمكان,outdoor_view,ambience_synthetic,False,ذباب,g097,5,ambience positive — outdoor flies vs flies in food
الطلب فيه ذباب اشمأز تماما,النظافة,,ambience_synthetic,True,ذباب,g097,5,contrastive hard-negative — outdoor flies vs flies in food
الجلسه برا مزعجه من زحمة الشارع,الجو والمكان,outdoor_view,ambience_synthetic,False,برا,g098,5,ambience positive — outdoor noisy vs late seating
الجلسه برا الموعد ما حد جا,خدمة الموظفين,,ambience_synthetic,True,برا,g098,5,contrastive hard-negative — outdoor noisy vs late seating
الاطلاله على المدخل قبيحه ومش ممتعه,الجو والمكان,outdoor_view,ambience_synthetic,False,الاطلاله,g099,5,ambience positive — ugly view vs unclear menu
الاطلاله على المنيو غير واضحه,خدمة الموظفين,,ambience_synthetic,True,الاطلاله,g099,5,contrastive hard-negative — ugly view vs unclear menu
البلكونه ضيقه ولا تكفي اربعه افراد,الجو والمكان,outdoor_view,ambience_synthetic,False,البلكونه,g100,5,ambience positive — small balcony vs balcony as upsell
البلكونه التي كانت في الفنادق ابعد,السعر والقيمة,,ambience_synthetic,True,البلكونه,g100,5,contrastive hard-negative — small balcony vs balcony as upsell
السطح ما فيه تكييف خارجي ولا ميني فان,الجو والمكان,outdoor_view,ambience_synthetic,False,السطح,g101,5,ambience positive — rooftop no AC vs sesame on top
السطح فوق الطلب وقع منه السمسم,جودة الطعام,,ambience_synthetic,True,السطح,g101,5,contrastive hard-negative — rooftop no AC vs sesame on top
التراس فيه عمال يدخنون قريب منا,الجو والمكان,outdoor_view,ambience_synthetic,False,التراس,g102,5,ambience positive — smokers on terrace vs terrace not bookable
التراس بالموقع غير متاح للحجز اونلاين,التوصيل,,ambience_synthetic,True,التراس,g102,5,contrastive hard-negative — smokers on terrace vs terrace not bookable
جلسة برا ما فيها واي فاي ولا اضائه,الجو والمكان,outdoor_view,ambience_synthetic,False,جلسة برا,g103,5,ambience positive — outdoor no wifi vs delivery-outside packaging
جلسة برا تطلب باستيكي عشان التوصيل,التوصيل,,ambience_synthetic,True,جلسة برا,g103,5,contrastive hard-negative — outdoor no wifi vs delivery-outside packaging
ما فيه خصوصية كل الناس تشوفك تاكل,الجو والمكان,privacy,ambience_synthetic,False,خصوصية,g104,5,ambience positive — no privacy in seating vs no customer privacy
الكاشير ما يحترم خصوصية اللي قبلك,خدمة الموظفين,,ambience_synthetic,True,خصوصية,g104,5,contrastive hard-negative — no privacy in seating vs no customer privacy
قسم العوائل ضيق ولاصقين فينا,الجو والمكان,privacy,ambience_synthetic,False,لاصقين,g105,5,ambience positive — crowded family section vs hovering staff
الموظف لاصق فينا ما تحس بالراحه,خدمة الموظفين,,ambience_synthetic,True,لاصقين,g105,5,contrastive hard-negative — crowded family section vs hovering staff
ما فيه حواجز بين الجلسات وكل الناس تسمعك,الجو والمكان,privacy,ambience_synthetic,False,حواجز,g106,5,ambience positive — no partitions vs no staff barrier
ما فيه حواجز للموظفين فيدخلون عليك بدون استئذان,خدمة الموظفين,,ambience_synthetic,True,حواجز,g106,5,contrastive hard-negative — no partitions vs no staff barrier
الجلسه مكشوفه على المطبخ ما فيها سرية,الجو والمكان,privacy,ambience_synthetic,False,مكشوفه,g107,5,ambience positive — exposed to kitchen vs cashier sees order
الجلسه مكشوفه للمندوب لما طلب الفاتوره,خدمة الموظفين,,ambience_synthetic,True,مكشوفه,g107,5,contrastive hard-negative — exposed to kitchen vs cashier sees order
جنبنا ناس يتسمعون كل كلمه نقولها,الجو والمكان,privacy,ambience_synthetic,False,جنبنا ناس,g108,5,ambience positive — neighbors eavesdropping vs neighbors got our order
جنبنا ناس استلموا طلبنا بالغلط,دقة الطلب,,ambience_synthetic,True,جنبنا ناس,g108,5,contrastive hard-negative — neighbors eavesdropping vs neighbors got our order
الافراد ما يقدرون يجلسون بدون عوائل,الجو والمكان,privacy,ambience_synthetic,False,الافراد,g109,5,ambience positive — singles section issue vs singles can't book online
الافراد ما يقدرون يحجزون اونلاين,التوصيل,,ambience_synthetic,True,الافراد,g109,5,contrastive hard-negative — singles section issue vs singles can't book online
القسم العائلي يطل على قسم الافراد,الجو والمكان,privacy,ambience_synthetic,False,القسم العائلي,g110,5,ambience positive — family section exposed vs miscalculated family-section bill
القسم العائلي حسبوا اسعاره غلط في الفاتوره,السعر والقيمة,,ambience_synthetic,True,القسم العائلي,g110,5,contrastive hard-negative — family section exposed vs miscalculated family-section bill
جلسات العوائل فاضيه بس ما يخلونا نقعد فيها,الجو والمكان,privacy,ambience_synthetic,False,جلسات العوائل,g111,5,ambience positive — family seats restricted vs family seats pricier
جلسات العوائل اسعارها اعلى من الافراد,السعر والقيمة,,ambience_synthetic,True,جلسات العوائل,g111,5,contrastive hard-negative — family seats restricted vs family seats pricier
الستاره بين الجلسات شفافه ما تستر,الجو والمكان,privacy,ambience_synthetic,False,الستاره,g112,5,ambience positive — see-through curtain vs dusty curtain
الستاره الزخرفيه على الجدار مغبره,النظافة,,ambience_synthetic,True,الستاره,g112,5,contrastive hard-negative — see-through curtain vs dusty curtain
ما فيه ساتر بين كل عائله وعائله,الجو والمكان,privacy,ambience_synthetic,False,الساتر,g113,5,ambience positive — no family partition vs partition blocks waiter
الساتر للنادل ضيق ما يقدر يخدم,خدمة الموظفين,,ambience_synthetic,True,الساتر,g113,5,contrastive hard-negative — no family partition vs partition blocks waiter
المكان كئيب وما يفتح النفس,الجو والمكان,general_place_vibe,ambience_synthetic,False,كئيب,g114,5,ambience positive — depressing place vs cold staff
الموظف كان بارد في التعامل,خدمة الموظفين,,ambience_synthetic,True,كئيب,g114,5,contrastive hard-negative — depressing place vs cold staff
الجو ثقيل في المطعم ما يستحمل,الجو والمكان,general_place_vibe,ambience_synthetic,False,ثقيل,g115,5,ambience positive — heavy vibe vs heavy bill
الفاتوره ثقيله على الجيب,السعر والقيمة,,ambience_synthetic,True,ثقيل,g115,5,contrastive hard-negative — heavy vibe vs heavy bill
الشكل قديم وكأنه من زمان والحمد لله,الجو والمكان,general_place_vibe,ambience_synthetic,False,قديم,g116,5,ambience positive — old-style place vs old food
الاكل قديم وما يستاهل ابدا,جودة الطعام,,ambience_synthetic,True,قديم,g116,5,contrastive hard-negative — old-style place vs old food
الفرع مقفل من الداخل ما يفتح النفس,الجو والمكان,general_place_vibe,ambience_synthetic,False,مقفل,g117,5,ambience positive — stuffy interior vs branch closed
الفرع مقفل اليوم وما حد رد على التلفون,خدمة الموظفين,,ambience_synthetic,True,مقفل,g117,5,contrastive hard-negative — stuffy interior vs branch closed
الفايب في المكان غريب ما حسيت بالراحه,الجو والمكان,general_place_vibe,ambience_synthetic,False,الفايب,g118,5,ambience positive — weird vibe vs unconvincing menu
الفايب في المنيو ما يقنع لاختيار الطلب,خدمة الموظفين,,ambience_synthetic,True,الفايب,g118,5,contrastive hard-negative — weird vibe vs unconvincing menu
المحل متهالك وداخل من زمن ما رمم,الجو والمكان,general_place_vibe,ambience_synthetic,False,متهالك,g119,5,ambience positive — rundown branch vs other branches better-value
المحل متهالك في الفروع التانيه افضل,السعر والقيمة,,ambience_synthetic,True,متهالك,g119,5,contrastive hard-negative — rundown branch vs other branches better-value
اللوكيشن سيء واحساس عام مزعج,الجو والمكان,general_place_vibe,ambience_synthetic,False,اللوكيشن,g120,5,ambience positive — bad-feel location vs wrong map pin
اللوكيشن في الخريطه غلط وضعنا,التوصيل,,ambience_synthetic,True,اللوكيشن,g120,5,contrastive hard-negative — bad-feel location vs wrong map pin
الاجواء داخل المطعم باله ومش جذابه,الجو والمكان,general_place_vibe,ambience_synthetic,False,الاجواء,g121,5,ambience positive — stale interior vs unappealing menu vibe
الاجواء العامه للمنيو ما ترغب الزبون,خدمة الموظفين,,ambience_synthetic,True,الاجواء,g121,5,contrastive hard-negative — stale interior vs unappealing menu vibe
ما يفتح النفس ابدا الجلوس هنا طويل,الجو والمكان,general_place_vibe,ambience_synthetic,False,يفتح النفس,g122,5,ambience positive — place doesn't lift mood vs food doesn't
ما يفتح النفس الطعم لما تذوقت اول لقمه,جودة الطعام,,ambience_synthetic,True,يفتح النفس,g122,5,contrastive hard-negative — place doesn't lift mood vs food doesn't
منفس ما قاله الموقع ولكن داخل المطعم خانق,الجو والمكان,general_place_vibe,ambience_synthetic,False,منفس,g123,5,ambience positive — place not airy vs broken delivery-bag vent
المنفس في الكيس مكسور والاكل بايخ,التوصيل,,ambience_synthetic,True,منفس,g123,5,contrastive hard-negative — place not airy vs broken delivery-bag vent
شرح الجو فظيع لا تمشي يوم العطل,الجو والمكان,general_place_vibe,ambience_synthetic,False,شرح,g124,5,ambience positive — place atmosphere bad vs bad menu explanation
شرح الموظف للمنيو فظيع ما فهمنا شي,خدمة الموظفين,,ambience_synthetic,True,شرح,g124,5,contrastive hard-negative — place atmosphere bad vs bad menu explanation
المكروف القديم في الجو ما تجاوبنا معه,الجو والمكان,general_place_vibe,ambience_synthetic,False,المكروف,g125,5,ambience positive — stale microwave-feel vs stale microwaved food
المكروف في الكيك قديم وما متماسك,جودة الطعام,,ambience_synthetic,True,المكروف,g125,5,contrastive hard-negative — stale microwave-feel vs stale microwaved food
